ProductID,Product_name,Product_Description,Product_Category,Stock,Price
GGOEGOBG023599,Colored Pencil Set,Colored Pencil Set,Office,100000,3.85
GGOEGOCB017499,Leatherette Journal,Leatherette Journal,Office,100000,7.69
GGOEGOCR017899,Recycled Paper Journal Set,Recycled Paper Journal Set,Office,100000,3.99
GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Galaxy Screen Cleaning Cloth,Office,100000,1.59
GGOEGOLC013299,Spiral Notebook and Pen Set,Spiral Notebook and Pen Set,Office,100000,3.35
GGOEGOLC014299,Google Metallic Notebook Set,Google Metallic Notebook Set,Office,100000,4.79
GGOEGOXQ016399,Badge Holder,Badge Holder,Office,100000,1.99
GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest Cam Indoor Security Camera - USA,Nest-USA,100000,119
GGOENEBB079299,Nest Protect Smoke + CO Black Battery Alarm-USA,Nest Protect Smoke + CO Black Battery Alarm-USA,Nest-USA,100000,81.5
GGOENEBD084799,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,100000,151.88
GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,100000,149
GGOENECQ078999,Nest Cam Outdoor Security Camera - USA,Nest Cam Outdoor Security Camera - USA,Nest-USA,100000,121.3
GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest Cam Outdoor Security Camera - USA,Nest-USA,100000,119
GGOENEAQ078999,Nest Cam Outdoor Security Camera - USA,Nest Cam Outdoor Security Camera - USA,Nest-USA,100000,122.77
GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,100000,81.5
GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,100000,80.52
GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,100000,151.88
GGOENEBQ086499,Nest Cam IQ - USA,Nest Cam IQ - USA,Nest,100000,151.88
GGOENEBQ086799,Nest Thermostat E - USA,Nest Thermostat E - USA,Nest,100000,151.88
GGOENEBQ092299,Nest Secure Alarm System Starter Pack - USA,Nest Secure Alarm System Starter Pack - USA,Nest,100000,355.74
GGOEWEBB082699,Waze Mobile Phone Vent Mount,Waze Mobile Phone Vent Mount,Waze,100000,7.12
GGOEWFKA083299,Waze Mood Ninja Window Decal,Waze Mood Ninja Window Decal,Waze,100000,2.05
GGOEYAAB031815,YouTube Men's Short Sleeve Hero Tee Black,YouTube Men's Short Sleeve Hero Tee Black,Apparel,100000,17.53
GGOEYAEB035616,YouTube Men's Vintage Tank,YouTube Men's Vintage Tank,Apparel,100000,8.4
GGOEYAEJ029016,YouTube Women's Short Sleeve Hero Tee Charcoal,YouTube Women's Short Sleeve Hero Tee Charcoal,Apparel,100000,15.19
GGOEYAEJ029017,YouTube Women's Short Sleeve Hero Tee Charcoal,YouTube Women's Short Sleeve Hero Tee Charcoal,Apparel,100000,15.19
GGOEYAWJ061448,YouTube Onesie Heather,YouTube Onesie Heather,Apparel,100000,24.75
GGOEYDHJ056099,22 oz YouTube Bottle Infuser,22 oz YouTube Bottle Infuser,Bottles,100000,4.12
GGOEYFKQ020699,YouTube Custom Decals,YouTube Custom Decals,Office,100000,1.59
GGOEYHPB072210,YouTube Twill Cap,YouTube Twill Cap,Apparel,100000,11.34
